Store,Week,Temperature,Holiday,CPI,FuelPrice,Unemployment,WeeklySales
44,53,23.35,No,127.7195806,2.974,7.224,293953.08
42,118,77.02,No,131.136,4.058,7.382,609274.89
4,34,60.96,No,126.1900333,2.642,7.372,1810684.68
30,91,65.46,No,217.3251824,3.372,7.441,426151.88
13,108,35.38,No,130.5502069,3.145,6.104,1929768.03
39,35,72.74,No,210.4404433,2.603,8.476,1219583.91
44,26,78.94,No,126.1069032,2.797,7.804,275020.96
6,14,73.68,No,211.8442706,2.835,7.092,1619920.04
41,41,38.99,No,191.0411474,2.737,7.508,1175326.23
8,108,46.33,No,224.1809207,3.555,5.825,928537.54
21,77,90.27,No,215.0749122,3.651,7.852,784490.67
25,54,21.18,Yes,206.0763862,3.239,7.343,615666.78
18,138,60.23,No,138.6534,4.056,8.535,971386.65
37,101,57.18,No,218.4062876,3.157,7.244,558343.57
12,135,89.78,No,130.8853548,4.093,10.926,1061943.49
3,119,75.19,No,225.2351496,3.688,6.664,431985.36
5,32,79.86,Yes,212.0499271,2.565,6.496,306533.08
39,15,77.49,No,209.118536,2.854,8.464,1226997.7
17,88,54.4,No,129.6938,3.592,6.617,918006.9
3,45,51.13,No,214.7693037,2.843,7.564,467642.03
6,30,85.71,No,213.0905324,2.619,6.973,1450766.12
16,14,37.43,No,189.5312483,2.771,6.842,403217.22
42,142,72.71,No,131.1499677,4.449,6.943,541406.98
15,19,61.04,No,132.4357419,2.972,8.185,619337.29
18,16,60.27,No,132.2230323,2.961,9.269,1101621.36
44,142,52.06,No,131.1499677,3.781,5.217,323766.77
13,127,79.23,No,130.7196333,3.63,5.765,2184980.35
8,120,64.16,No,225.3002908,3.63,5.679,913922.01
15,85,62.1,No,136.3145,3.937,7.806,545052.34
8,23,72.49,No,214.4729952,2.642,6.315,845289.77
28,17,67.84,No,126.1602258,3.058,14.099,1176588.25
14,81,72.98,No,186.5093071,3.747,8.625,1896873.99
13,85,67.54,No,129.4306,3.641,6.877,1923223.82
24,21,74.9,No,132.4976,2.958,8.211,1399073.75
18,135,70.09,No,138.3771935,3.884,8.535,1117097.23
3,131,86.55,No,225.4636332,3.417,6.334,419990.29
4,33,64.91,No,126.1454667,2.594,7.372,1899959.61
34,72,76.58,No,129.0432,3.618,10.581,968258.09
33,18,86.06,No,126.1360645,2.941,9.849,285100
2,78,90.07,No,215.1363819,3.682,7.852,1680693.06
17,104,29.99,No,130.3144516,3.058,6.403,769522.33
8,110,49.59,No,224.6110379,3.669,5.825,960115.56
34,99,32.45,No,129.9845484,3.103,10.148,1593655.96
24,109,35.36,No,137.4238966,3.983,8.659,1213994.39
19,10,55.66,No,131.9408065,2.992,8.185,1489613.32
11,85,85.11,No,219.3972867,3.526,7.567,1270816.01
8,141,55.03,No,226.9735448,3.601,5.124,927511.99
41,122,57.29,No,197.6218954,3.764,6.547,1374891.36
24,53,23.83,No,133.1834194,3.4,8.252,1225182.04
12,142,68.66,No,131.1499677,4.449,10.199,960945.43
29,13,50.96,No,132.0644333,2.935,10.16,501013.47
43,1,47.31,No,203.0642742,2.572,9.521,647029.28
19,37,51.32,No,132.7633548,2.999,8.067,1369317.63
28,142,68.66,No,131.1499677,4.449,10.199,1143724.48
13,26,78.94,No,126.1069032,2.797,7.951,1817887.23
44,92,43.51,No,129.8051935,3.538,6.078,307126.34
27,31,78.52,No,136.5891118,2.86,7.982,1908110.9
9,20,82.99,No,215.0166484,2.637,6.384,513073.87
29,40,44.34,No,132.9245806,2.938,10.524,521002.97
27,80,76.67,No,140.0859873,3.995,7.85,1758437.96
20,68,59.01,No,208.7583165,4.062,7.287,1953416.06
27,97,46.28,No,140.4397857,3.627,7.906,2014665.98
43,70,83.49,No,207.1039009,3.699,10.581,630972.15
22,48,28.49,Yes,136.665265,3.177,8.572,774262.28
12,75,89.9,No,129.1125,3.705,13.503,943717.38
17,52,22.16,No,127.5800323,2.96,6.866,736335.69
31,67,75.04,No,215.6124735,3.899,7.931,1408118.22
43,52,44.98,No,204.1789677,3.01,10.398,562558.27
14,18,75.93,No,182.2389876,2.847,8.899,2363601.47
30,22,82.29,No,210.8803726,2.669,8.099,450337.47
34,110,42.7,No,130.7413793,3.667,9.653,976393.43
33,12,71.59,No,126.4713333,3.05,9.849,263263.02
2,138,71.09,No,222.4169362,3.721,6.565,1829415.67
28,131,88.16,No,130.737871,3.76,10.926,1376520.1
39,50,41.74,No,210.2379731,2.983,8.395,1193199.39
6,77,88.06,No,216.964312,3.651,6.925,1526506.08
17,6,29.71,No,126.6042857,2.733,6.548,763961.82
19,49,31.34,No,132.8823226,3.351,7.771,1224175.99
44,137,68.55,No,130.9776667,3.749,5.407,347726.67
17,138,58.43,No,131.0103333,3.821,5.936,938303.28
37,82,86.02,No,214.4878416,3.523,8.177,527947.21
4,4,41.36,No,126.5522857,2.59,8.623,1925728.84
6,52,44.98,No,213.7143412,3.01,6.858,1287034.7
12,7,59.57,No,126.6066452,3.054,13.975,972088.34
26,106,23.89,Yes,137.1666774,3.655,7.467,1081005.64
32,110,39.9,No,196.9631599,3.286,8.256,1124537.97
6,62,70.35,No,216.6244334,3.622,6.855,1534594
42,77,88.59,No,129.1507742,3.697,8.257,511316.29
45,40,45.65,No,182.9463648,2.917,8.724,764014.06
7,9,38.26,No,189.7048215,2.725,8.963,561145.14
20,73,72.4,No,208.2306018,3.804,7.287,1950826.32
5,45,48.27,No,212.0193491,2.843,6.768,352811.53
14,70,76.38,No,185.7545,3.922,8.521,2079899.47
39,41,62.21,No,210.7667944,2.728,8.476,1291398.71
22,140,62.09,No,142.8516833,4.027,7.543,1009887.36
44,132,81.69,No,130.7561613,3.509,5.407,333594.81
27,123,64.05,No,142.1158099,3.871,8.253,1764756.31
34,6,42.26,No,126.6042857,2.704,9.521,921247.88
10,81,87.4,No,129.2405806,3.743,8.257,1954849.68
2,6,57.56,No,211.037551,2.667,8.324,1990483.78
36,10,68.54,No,209.400638,2.743,8.464,453016.91
31,92,56.01,No,217.4853605,3.332,7.441,1426405.46
17,86,56.96,No,129.5183333,3.648,6.745,895535.31
38,37,75,No,126.3266774,2.976,14.313,337743.26
15,39,55.09,No,132.8708387,3.055,8.067,598301.5
8,4,37.91,No,214.6940735,2.561,6.299,847592.11
19,140,59.86,No,138.8256,4.151,7.992,1408016.1
23,65,54.2,No,134.4357333,3.988,4.781,1173307.4
33,41,65.21,No,126.5461613,3.13,9.265,272803.94
32,26,75.62,No,189.9368504,2.69,9.017,1065350.56
27,86,63.61,No,140.32725,3.899,7.85,1606208.68
12,37,75,No,126.3266774,2.976,14.313,862419.84
30,87,78.91,No,216.3620333,3.355,7.852,387001.13
42,70,81.87,No,129.0490323,3.893,8.494,545109.3
27,9,46.9,No,135.7464988,2.957,8.058,2053952.97
29,44,39.42,No,132.7566667,3.065,10.524,642678.53
11,37,71.46,No,215.1293114,2.72,7.564,1175003.67
45,67,60.38,No,186.0719231,4.066,8.521,793889.1
25,96,42.85,No,211.6394306,3.452,7.082,878314.57
7,75,59.08,No,193.1878448,3.54,8.622,761793.94
17,109,26.28,No,130.6457931,3.242,6.403,856178.47
10,16,78.32,No,126.1843871,3.12,9.524,1847613.58
1,73,83.58,No,215.0910982,3.594,7.682,1438830.15
20,112,66.11,No,214.0907105,3.9,6.961,1992436.96
11,67,80.93,No,219.3683556,3.899,7.574,1277959.42
9,11,66.09,No,214.0001817,2.808,6.384,485764.32
24,142,52.59,No,138.8336129,4.153,8.693,1255414.84
16,120,56.74,No,197.5553137,3.837,6.169,493506.47
35,116,62.62,No,141.9015262,4.027,8.876,794660.24
14,60,41.76,No,184.9943679,3.625,8.549,1879451.23
26,86,50.72,No,136.367,3.758,7.767,923644.6
27,126,73.94,No,142.1920381,3.667,8.253,1842555.32
18,27,73.67,No,132.6141935,2.792,9.342,1166117.85
24,120,63.1,No,138.1065806,4.029,8.983,1298809.8
13,112,47.83,No,130.8966452,3.671,6.104,1904421.74
33,108,59.41,No,130.5502069,3.95,7.603,242526.7
2,19,83.4,No,211.1120018,2.668,8.2,2025538.76
12,116,66.73,No,131.1173333,4.222,11.627,1006486.96
44,119,56.47,No,131.1453333,3.809,5.621,341381.08
36,120,73.7,No,220.4252149,3.713,6.989,324801.13
34,82,77.27,No,129.2832581,3.523,10.641,871404.6
7,6,27.25,No,189.7372075,2.684,9.014,480452.1
4,101,38.64,No,130.1575161,3.158,4.607,2047766.07
37,67,76.73,No,214.6899778,3.899,8.3,511871.63
30,27,90.3,No,211.1608049,2.627,8.099,441407.06
23,10,56.82,No,131.9408065,2.849,5.435,1264434.7
42,129,84.45,No,130.7012903,3.589,7.17,530318.39
15,113,42.65,No,137.7261935,4.098,7.943,557547.25
26,143,46.95,No,138.7281613,3.917,7.138,958619.8
44,82,81.53,No,129.2832581,3.57,6.56,324174.79
30,28,89.65,No,211.2951413,2.692,8.099,444160.07
10,142,72.71,No,131.1499677,4.449,6.943,1734834.82
13,140,61.79,No,131.0756667,3.815,5.621,2041918.74
43,4,48.77,No,203.2798724,2.561,9.521,618702.79
29,25,76.91,No,132.5825806,2.784,10.409,506502.09
11,61,69.1,No,218.2114184,3.524,7.574,1258674.12
25,127,75.52,No,214.6873514,3.475,7.28,753385.55
2,79,93.34,No,215.1978515,3.684,7.852,1876704.26
11,105,60.24,No,223.6591137,3.36,6.833,1376732.18
13,93,33.8,No,129.8167097,3.513,6.392,2111592.09
27,21,78.02,No,136.3483143,2.958,8.058,1962625.01
11,56,68.74,No,216.8780275,3.065,7.551,1323999.36
14,21,79.32,No,182.3806,2.808,8.899,2246179.91
40,88,50.21,No,136.472,3.633,4.42,1070389.98
44,77,78.5,No,129.1507742,3.563,6.56,303108.81
2,83,89.64,No,215.4508632,3.533,7.852,1809119.7
11,44,55.9,No,214.9153531,2.708,7.564,1380522.64
39,40,61.62,No,210.7202444,2.689,8.476,1293707.19
11,96,56.89,No,222.1589519,3.172,7.197,1399322.44
16,121,57.36,No,197.5886046,3.804,6.169,518045.09
5,78,89.42,No,216.0464364,3.682,6.529,275142.17
11,16,76.97,No,213.9116886,2.826,7.343,1271646.62
10,33,85.52,No,126.1454667,3.028,9.199,1716755.78
41,1,30.27,No,189.3816974,2.58,7.541,1086533.18
31,121,79.49,No,221.3828029,3.561,6.891,1397094.26
29,39,57.73,No,132.8708387,2.938,10.524,527058.59
10,56,53.59,No,128.13,3.398,8.744,1967996.71
21,113,67.87,No,220.9991248,3.845,7.057,724798.76
6,141,65.43,No,225.0054733,3.601,5.329,1459396.84
8,115,65.19,No,225.0625714,3.891,5.679,909989.45
17,31,57.86,No,126.1019355,2.868,6.697,834373.73
42,121,86.03,No,131.0287742,4.127,7.382,535764.58
8,7,47.26,No,214.5764954,2.72,6.299,839911
34,19,80.84,No,126.1119032,2.668,9.593,954681.56
1,3,39.93,No,211.2891429,2.514,8.106,1611968.17
14,116,63.13,No,190.8138013,4.027,8.567,1875686.44
21,129,84.25,No,221.5701123,3.311,6.565,691200.33
32,21,72.42,No,189.4533931,2.715,8.963,1124763.74
9,23,78.51,No,214.6564301,2.642,6.442,485389.15
27,130,76.01,No,142.2126924,3.82,8.239,1625883.71
4,89,63.75,No,129.7706452,3.283,5.143,2074548.85
14,139,64.88,No,192.0135577,3.997,8.684,1522512.2
38,108,53.13,No,130.5502069,3.95,12.187,409411.61
33,118,82.43,No,131.136,4.058,7.396,270497.51
9,82,88.95,No,219.3189965,3.523,6.404,542663.53
32,86,58.66,No,194.8099713,3.581,8.622,1116140.29
38,69,76.67,No,129.0623548,4.087,13.736,356886.1
34,77,80.75,No,129.1507742,3.627,10.641,913236.62
38,104,50.43,No,130.3144516,3.675,12.187,412882.31
10,45,60.51,No,126.7934,3.091,9.003,2411790.21
44,59,44.69,No,128.5121935,3.407,7.224,281699.68
34,8,42.91,No,126.6050645,2.752,9.521,880742.35
26,111,35.06,No,137.5843871,3.867,7.467,919503.4
40,25,71.79,No,132.5825806,2.784,5.326,922341.82
41,10,37.3,No,189.6901012,2.75,7.363,1082158.21
28,95,53.25,Yes,129.8364,3.622,12.89,1929738.27
8,125,78.85,No,225.3558843,3.346,5.679,899449.65
2,141,60.97,No,223.0154263,3.601,6.17,1900745.13
19,23,78.22,No,132.5461333,2.94,8.099,1577541.24
37,104,62.73,No,218.7687195,3.29,7.244,514116.58
4,98,36.44,No,129.8980645,3.149,5.143,2771397.17
15,15,47.13,No,132.152129,3.112,8.185,594385.2
23,124,64.73,No,138.1295333,3.683,4.125,1543667.68
40,140,57.21,No,138.8256,4.027,4.145,1069112
39,96,53.14,No,217.4229206,3.172,7.716,1632894.58
6,74,87,No,216.7257388,3.524,6.925,1694551.15
23,88,49,No,136.472,3.633,4.42,1463501.99
6,112,63.71,No,222.8930835,3.787,6.132,1495143.62
45,135,75.09,No,191.461281,3.867,8.684,734297.87
9,38,69.99,No,215.4081762,2.725,6.56,466322.76
4,96,38.71,No,129.8459667,3.176,5.143,2180999.26
1,36,63.93,No,211.7467544,2.633,7.838,1508239.93
28,130,93.47,No,130.7195806,3.769,10.926,1135035.09
15,16,59.09,No,132.2230323,3.096,8.185,616598.1
5,44,51.31,No,212.1613951,2.708,6.768,344490.88
24,42,45.63,No,132.9172,3.138,8.275,1277150.6
32,131,75.09,No,198.0293893,3.528,7.872,1183571.35
33,31,90.82,No,126.1019355,3.087,9.495,237405.82
22,124,66.56,No,142.1292548,3.683,7.671,1061219.19
17,93,27.61,No,129.8167097,3.513,6.617,914759.2
43,113,69.88,No,212.8142212,3.845,9.653,623258.4
12,113,64.36,No,130.9670968,4.294,12.187,1025382.22
2,82,90.45,No,215.386897,3.523,7.852,1821139.91
43,123,85.73,No,213.1702811,3.452,9.575,643032.51
41,74,67.01,No,193.0930552,3.597,6.901,1333347.78
27,17,67.88,No,136.1489101,3.046,8.058,1962468.67
44,124,65.97,No,130.8295333,3.756,5.621,338400.82
14,50,24.78,No,182.6585782,3.205,8.549,1699095.9
6,123,80.5,No,223.3553131,3.452,5.964,1696619.52
31,51,42.72,No,211.4864691,3.016,8.028,1344167.13
45,65,66.18,No,185.8029526,3.962,8.521,786561.61
17,43,19.03,Yes,126.6692667,2.83,6.885,1005448.76
38,119,77.27,No,131.1453333,4.186,11.627,429914.6
6,142,69.68,No,225.0501013,3.594,5.329,1436883.99
19,104,32.41,No,136.9598387,3.737,7.943,1279623.26
32,98,26.23,No,195.9841685,3.266,8.513,1556017.91
31,59,63.26,No,214.0156238,3.488,8.028,1425559.02
2,100,44.57,Yes,219.1773063,3.129,7.441,1874226.52
24,137,64.28,No,138.5673,4.088,8.953,1242909.53
41,135,71.56,No,198.0967341,3.556,6.432,1360517.52
40,131,70.15,No,138.1735806,3.698,4.156,1068346.76
35,105,42.52,No,141.0161924,3.617,8.744,746901.03
21,39,67.51,No,211.5661131,2.716,8.163,731756.65
35,114,48.73,No,141.7712396,3.996,8.876,860293.46
32,61,44.83,No,192.2691707,3.461,8.595,1051121.02
40,124,63.39,No,138.1295333,3.683,4.125,977950.28
21,114,69.02,No,221.0737638,3.891,6.891,761956.58
32,28,74.97,No,190.2611552,2.723,9.017,1157975.68
38,81,91.74,No,129.2405806,3.743,13.503,362224.7
2,84,77.97,Yes,215.5148295,3.546,7.852,1748000.65
30,21,87.01,No,210.9950134,2.653,8.2,453210.24
23,115,41.81,No,137.868,4.025,4.125,1231752.54
15,94,46.53,No,136.4666667,3.717,7.866,597856.51
33,26,92.71,No,126.1069032,3.017,9.495,242047.03
6,11,65.68,No,211.9942765,2.808,7.092,1519846.36
13,72,63.35,No,129.0432,3.704,7.193,2086433.49
10,135,86.97,No,130.8853548,3.886,7.17,1650285.54
36,113,70.48,No,220.0454862,3.891,7.244,304144.9
14,48,29.67,Yes,182.5714479,3.179,8.724,1623716.46
40,126,64.42,No,138.1962667,3.577,4.125,988764.84
23,59,37.28,No,133.8492258,3.634,5.114,1203682.62
35,130,76.01,No,142.2126924,3.647,8.839,808030.15
39,109,64.05,No,219.5340975,3.63,7.244,1453047.02
38,78,93.29,No,129.1677097,3.805,13.503,355131.33
40,67,54.09,No,134.593,4.095,4.781,903864.02
17,65,40.14,No,128.9998667,3.683,6.774,806979.15
18,46,27.4,No,132.6804516,3.139,9.331,1588430.71
1,27,87.16,No,211.5046621,2.627,7.787,1605491.78
4,78,84.36,No,129.1677097,3.659,5.644,1989674.07
28,128,95.61,No,130.683,3.723,10.926,1179915.04
43,133,85.66,No,213.4226959,3.571,9.285,640210.85
31,70,83.82,No,214.9254865,3.699,7.931,1430348.1
7,127,64.67,No,197.8322195,3.646,7.872,805642.61
24,7,46.09,No,131.8242903,2.96,8.326,1222511.29
21,128,82.51,No,221.5616784,3.256,6.565,668132.36
28,7,59.57,No,126.6066452,3.054,13.975,1279819.43
31,44,50.43,No,211.265543,2.708,8.163,1338716.37
42,10,65.29,No,126.6019032,3.004,9.524,582552.26
6,73,85.51,No,216.6314502,3.594,6.855,1543365.9
14,136,75.7,Yes,191.5776756,3.911,8.684,1904512.34
45,77,82.33,No,186.2177885,3.811,8.625,741625.25
2,33,82.05,No,211.1806415,2.582,8.099,1793903.6
7,77,56.22,No,193.5120367,3.545,8.622,688043.96
7,88,40.65,No,194.9459724,3.498,8.513,525866.36
22,77,77.79,No,139.7969712,3.882,8.023,964683.8
3,108,60.12,No,224.1320199,3.555,6.833,418925.47
5,2,39.81,Yes,211.8004698,2.548,6.566,311825.7
34,74,81.96,No,129.0894,3.504,10.641,911106.22
26,80,62.99,No,136.144129,3.88,7.767,1087644.5
18,130,72.97,No,138.2033871,3.701,8.535,924506.26
41,98,25.01,No,195.9841685,3.266,6.759,1682368.32
22,53,26.39,No,137.0542431,3.24,8.458,946060.98
27,73,72.02,No,139.1832917,3.964,7.725,1811455.15
19,112,56.72,No,137.6552903,4.054,7.943,1342254.55
27,57,36.99,No,137.5017028,3.605,7.827,1656130.67
20,136,76.36,Yes,215.2189573,3.911,7.28,2080529.06
12,103,46.2,No,130.2792258,3.66,12.187,855922.64
37,129,81.76,No,220.6148749,3.311,6.623,503744.56
7,142,43.01,No,199.1481963,3.75,7.557,516424.83
43,13,66.91,No,202.4312238,2.78,9.593,630740.11
17,17,48.19,No,126.1602258,2.908,6.635,872817.62
30,108,54.81,No,220.275944,3.555,7.057,425215.71
40,89,53.9,No,136.5150968,3.583,4.42,936751.68
40,1,14.48,No,131.5279032,2.788,5.892,1001943.8
30,61,56.36,No,214.4886908,3.524,7.931,437926.79
6,9,64.94,No,212.3322805,2.719,7.092,1770333.9
28,19,90.84,No,126.1119032,2.949,14.099,1348995.17
19,119,55.33,No,138.0882667,4.055,8.15,1442873.22
34,114,54.42,No,131.0375484,3.864,9.575,1091020.37
32,83,74.6,No,194.5092113,3.511,8.622,1152117.5
20,11,55.43,No,203.7307486,2.899,7.856,1985784.59
9,78,91.1,No,219.0768548,3.682,6.404,471449.98
41,108,27.89,No,196.9499007,3.129,6.589,1224915.66
33,53,49.26,No,127.7195806,3.348,8.951,234218.03
11,42,58.63,No,215.2074519,2.771,7.564,1292346.57
35,107,37.24,No,141.2140357,3.695,8.744,824568.39
11,100,48.86,Yes,223.0090839,3.129,7.197,1352084.21
3,53,45.95,No,215.8863367,2.989,7.551,438516.53
43,75,87.02,No,207.1152738,3.48,10.641,651147.83
43,47,57.15,No,203.4086682,2.886,10.21,656637.63
15,9,45.27,No,131.9019677,2.957,8.185,718470.71
19,116,55.2,No,137.9230667,4.17,8.15,1255087.26
38,46,52.77,No,126.8794839,3.236,14.313,334441.15
13,4,29.98,No,126.5522857,2.667,8.316,1817850.32
40,44,33.6,No,132.7566667,3.065,5.287,1000582.06
10,127,86.87,No,130.7196333,3.666,7.17,1805999.79
39,55,58.2,No,212.0063522,3.045,8.395,1335233.74
10,119,76.03,No,131.1453333,4.186,7.382,1792345.3
20,35,61.08,No,204.8850973,2.707,7.484,1933719.21
2,112,64.01,No,220.9244858,3.787,7.057,1790439.16
27,101,35.8,No,140.6461359,3.585,8.009,1535287.4
12,85,76.36,No,129.4306,3.918,13.503,889290.23
21,15,73.08,No,209.9984585,2.854,8.2,723559.88
5,96,51.14,No,219.2917287,3.172,6.3,376225.61
44,135,79.18,No,130.8853548,3.624,5.407,339490.69
13,68,52.12,No,129.0756774,3.802,7.193,1860923.55
1,126,84.88,No,221.8434,3.286,7.143,1540421.49
37,135,84.79,No,220.9853964,3.638,6.623,538344.1
13,69,54.62,No,129.0623548,3.778,7.193,1866369.93
29,117,51.42,No,137.9781333,4.023,9.14,497250.22
13,128,83.68,No,130.683,3.595,5.765,2002750.99
2,133,84.79,No,221.6751459,3.571,6.565,1928016.01
28,32,83.63,Yes,126.1145806,3.044,14.18,1246062.17
30,38,70.72,No,211.5187208,2.725,8.163,459631.74
28,26,96.31,No,126.1069032,3.017,14.18,1150204.71
9,119,70.94,No,225.4782634,3.688,5.539,592572.3
10,118,77.02,No,131.136,4.058,7.382,1821364.42
1,134,77.66,No,222.1719457,3.62,6.908,1494122.38
44,61,42.49,No,128.7199355,3.487,6.906,281514.26
15,134,66.98,No,138.2814516,3.997,8.193,606210.77
21,115,69.03,No,221.1484028,3.891,6.891,769319.04
25,35,57.56,No,204.8850973,2.707,7.484,658640.14
5,42,52.52,No,212.445487,2.771,6.768,297384.81
19,99,36.09,No,136.5883871,3.587,7.866,2480159.47
12,28,87.01,No,126.064,3.159,14.18,928264.4
26,124,57.84,No,138.1295333,3.683,7.489,1029248.22
14,98,39.93,No,188.7979349,3.413,8.523,2594363.09
14,133,75.71,No,191.2284919,3.807,8.684,1660433.3
32,132,75.93,No,198.0795651,3.509,7.872,1227469.2
29,89,62.63,No,136.5150968,3.583,9.357,475776.45
34,68,61.47,No,129.0756774,3.881,10.581,945018.83
30,89,69.79,No,217.0048261,3.274,7.441,410711.99
18,45,25.64,No,132.6764,3.132,9.331,1416168.98
4,1,43.76,No,126.4420645,2.598,8.623,2135143.87
15,91,45.54,No,136.4884516,3.757,7.866,589842.69
24,39,57.29,No,132.8708387,3.055,8.275,1244925.94
11,14,75.57,No,213.6211778,2.835,7.343,1312329.78
23,80,69.86,No,136.144129,3.88,4.584,1380952.05
26,90,45.23,No,136.5017742,3.618,7.598,974907.28
41,16,50.59,No,189.467827,2.776,7.363,1163234.33
1,93,59.11,No,217.9980849,3.297,7.866,1594938.89
34,29,76.45,No,126.0766452,2.671,9.816,985152.94
22,62,44.42,No,138.0638929,3.72,8.252,969046.69
40,34,55.63,No,132.7619333,2.718,5.326,844373.31
11,143,74.26,No,226.9873637,3.506,6.034,1200729.45
13,22,78.82,No,126.1392,2.814,7.951,2018314.71
20,98,37.16,No,212.0685039,3.413,7.082,2762816.65
26,22,58.9,No,132.5218667,2.815,8.445,1078455.48
40,108,29.88,No,137.3411034,3.751,4.261,919301.81
23,4,32.68,No,131.686,2.753,5.892,1198709.65
29,19,65.01,No,132.4357419,2.83,10.16,540716.58
27,20,70,No,136.3243393,2.942,8.058,1887182.27
43,31,80.43,No,203.4507258,2.577,9.816,689326.91
10,83,91.61,No,129.3259355,3.798,8.257,1758587.35
13,63,41.72,No,128.9107333,3.616,7.193,1950994.04
10,35,86.01,No,126.2346,3.001,9.003,1645892.97
15,138,60.34,No,138.6534,4.203,8.193,533161.64
27,107,37.24,No,141.2140357,3.874,8.009,1606221.56
44,88,60.62,No,129.6938,3.592,6.078,312577.36
26,9,36.53,No,131.9019677,2.826,8.512,1029849.2
34,94,46,No,129.8268333,3.294,10.148,947552.44
43,117,78.27,No,213.062819,3.814,9.575,593138.59
36,52,48.74,No,210.9682412,2.995,8.395,372174.12
12,123,84.83,No,130.8896774,4.103,11.627,1086231.47
5,25,83.66,No,211.7915565,2.608,6.496,274742.63
32,17,64.69,No,189.4452425,2.737,8.963,1205662.85
17,128,72.94,No,130.683,3.595,5.936,960746.04
8,32,74.34,Yes,214.8528728,2.565,6.315,831425.2
9,80,91.63,No,219.1929854,3.638,6.404,520284.79
37,59,64.9,No,213.1096787,3.488,8.395,478503.06
4,83,77.99,No,129.3259355,3.533,5.644,2078420.31
6,107,49.03,No,222.026359,3.51,6.132,1632616.09
27,103,30.35,No,140.8086118,3.705,8.009,1542131.05
32,118,58.29,No,197.6063534,3.903,8.09,1187384.53
44,65,43.85,No,128.9998667,3.683,6.906,281247.97
18,81,69.24,No,136.183129,3.82,8.89,932679.79
22,37,55.23,No,136.6401935,2.878,8.572,954401.46
3,137,78.36,No,226.1122067,3.717,6.334,407589.16
40,46,23.01,No,132.6804516,3.139,5.287,1179036.3
11,122,81.67,No,225.2518313,3.501,6.664,1361595.33
12,107,51.8,No,130.4546207,3.781,12.187,1240048.85
24,72,64.34,No,135.0837333,3.989,8.212,1320359.23
30,66,61.87,No,215.4448709,3.906,7.931,438789.52
10,31,83.8,No,126.1019355,3.087,9.199,1766331.45
14,104,37.93,No,189.5168505,3.567,8.424,1595362.27
35,37,58.38,No,136.6401935,2.868,8.763,798376.99
10,55,61.77,No,127.99525,3.43,8.744,2106934.55
6,29,87.36,No,213.1291427,2.664,6.973,1539930.5
28,89,67.31,No,129.7706452,3.805,12.89,1220984.94
23,116,56.55,No,137.9230667,4.046,4.125,1287899.41
3,143,74.66,No,226.9873637,3.506,6.034,405432.7
13,44,25.8,No,126.7313333,2.812,7.795,2083379.89
27,5,38.07,No,135.5732602,2.919,8.237,1313729.72
25,80,70.93,No,208.7820061,3.812,7.274,667130.48
